POINT_ID,ZIP_CODE,LAT,LONG,POPULATION,CITY,COUNTY,STATE,STATE_ABBREVIATION
347005,85736,31.9098417,-111.3644232,335,Tucson,Pima,Arizona,AZ
347006,85735,32.0941094,-111.3492655,817,Tucson,Pima,Arizona,AZ
347007,85653,32.3987901,-111.3863327,989,Marana,Pima,Arizona,AZ
347008,85743,32.3022733,-111.1818483,1786,Tucson,Pima,Arizona,AZ
347010,85139,32.9799865,-112.1448518,1243,Maricopa,Pinal,Arizona,AZ
347011,85172,32.883352,-111.9534334,116,Stanfield,Pinal,Arizona,AZ
347012,85138,33.0076262,-111.9895319,1838,Maricopa,nan,Arizona,AZ
347013,85123,32.7152989,-111.6977136,645,Arizona City,Pinal,Arizona,AZ
347014,85193,32.8028158,-111.818167,429,Casa Grande,nan,Arizona,AZ
347015,85122,32.9171263,-111.744208,3709,Casa Grande,Pinal,Arizona,AZ
347016,85339,33.2376658,-112.1585871,2715,Laveen,Maricopa,Arizona,AZ
347018,85226,33.2522489,-112.0102681,2904,Chandler,Maricopa,Arizona,AZ
347019,85045,33.2988926,-112.1058768,549,Phoenix,Maricopa,Arizona,AZ
347020,85041,33.3859301,-112.110307,4790,Phoenix,Maricopa,Arizona,AZ
347022,85043,33.4319054,-112.1969982,2724,Phoenix,Maricopa,Arizona,AZ
347023,85035,33.4714493,-112.1947323,4607,Phoenix,Maricopa,Arizona,AZ
347024,85031,33.493971,-112.1669261,3073,Phoenix,Maricopa,Arizona,AZ
347025,85301,33.5350115,-112.1819328,5035,Glendale,Maricopa,Arizona,AZ
347026,85019,33.5088785,-112.1445137,2355,Phoenix,Maricopa,Arizona,AZ
347027,85009,33.4430968,-112.1281363,5457,Phoenix,Maricopa,Arizona,AZ
347028,85007,33.4476142,-112.0908828,935,Phoenix,Maricopa,Arizona,AZ
347029,85003,33.4506619,-112.0783529,900,Phoenix,Maricopa,Arizona,AZ
347030,85004,33.4515666,-112.0698864,849,Phoenix,Maricopa,Arizona,AZ
347031,85017,33.508782,-112.1230681,3547,Phoenix,Maricopa,Arizona,AZ
347033,85015,33.5086645,-112.1020181,2651,Phoenix,Maricopa,Arizona,AZ
347035,85013,33.5110869,-112.084749,1006,Phoenix,Maricopa,Arizona,AZ
347037,85012,33.5075765,-112.0709811,290,Phoenix,Maricopa,Arizona,AZ
347039,85048,33.3125521,-112.0571848,3058,Phoenix,Maricopa,Arizona,AZ
347040,85044,33.3529568,-112.0190824,2244,Phoenix,Maricopa,Arizona,AZ
347041,85042,33.3691973,-112.0435095,3174,Phoenix,Maricopa,Arizona,AZ
347042,85040,33.4064788,-112.0254688,2747,Phoenix,Maricopa,Arizona,AZ
347043,85006,33.4652342,-112.0487712,2135,Phoenix,Maricopa,Arizona,AZ
347044,85034,33.4295804,-112.0140972,410,Phoenix,Maricopa,Arizona,AZ
347045,85014,33.5072229,-112.0576902,1225,Phoenix,Maricopa,Arizona,AZ
347047,85016,33.511517,-112.019166,1752,Phoenix,Maricopa,Arizona,AZ
347048,85008,33.4629542,-111.985178,4513,Phoenix,Maricopa,Arizona,AZ
347049,85018,33.5059563,-111.985386,1918,Phoenix,Maricopa,Arizona,AZ
347050,85253,33.5448329,-111.9575634,1228,Paradise Valley,Maricopa,Arizona,AZ
347051,85121,33.1444056,-111.9222071,230,Bapchule,Pinal,Arizona,AZ
347052,85248,33.2149546,-111.8699729,1133,Chandler,Maricopa,Arizona,AZ
347054,85286,33.271981,-111.8317741,2535,Chandler,nan,Arizona,AZ
347055,85147,33.1290871,-111.7334708,468,Sacaton,Pinal,Arizona,AZ
347056,85249,33.2249555,-111.7957165,2470,Chandler,Maricopa,Arizona,AZ
347058,85298,33.2411862,-111.7267269,1249,Gilbert,nan,Arizona,AZ
347059,85297,33.277771,-111.7314544,1882,Gilbert,Maricopa,Arizona,AZ
347060,85284,33.338295,-111.9346442,1352,Tempe,Maricopa,Arizona,AZ
347062,85224,33.3236717,-111.8784611,2870,Chandler,Maricopa,Arizona,AZ
347063,85283,33.3646382,-111.9316044,2938,Tempe,Maricopa,Arizona,AZ
347064,85282,33.3939839,-111.9329063,3003,Tempe,Maricopa,Arizona,AZ
347067,85202,33.3797573,-111.8750177,2459,Mesa,Maricopa,Arizona,AZ
347070,85225,33.317448,-111.830487,5213,Chandler,Maricopa,Arizona,AZ
347071,85233,33.353505,-111.811432,2875,Gilbert,Maricopa,Arizona,AZ
347072,85210,33.3897328,-111.8435049,2895,Mesa,Maricopa,Arizona,AZ
347073,85281,33.4274398,-111.9340045,9654,Tempe,Maricopa,Arizona,AZ
347074,85257,33.4619603,-111.9163918,1442,Scottsdale,Maricopa,Arizona,AZ
347075,85251,33.4935134,-111.9192394,1537,Scottsdale,Maricopa,Arizona,AZ
347076,85250,33.5344512,-111.8873536,732,Scottsdale,Maricopa,Arizona,AZ
347077,85201,33.4335449,-111.8503995,3221,Mesa,Maricopa,Arizona,AZ
347078,85256,33.5005837,-111.8437281,482,Scottsdale,Maricopa,Arizona,AZ
347079,85295,33.3032407,-111.7418069,2472,Gilbert,nan,Arizona,AZ
347080,85296,33.3323279,-111.7498024,3019,Gilbert,Maricopa,Arizona,AZ
347081,85204,33.3957198,-111.7866076,4687,Mesa,Maricopa,Arizona,AZ
347082,85234,33.361667,-111.7410025,4521,Gilbert,Maricopa,Arizona,AZ
347084,85206,33.3962955,-111.7170192,1652,Mesa,Maricopa,Arizona,AZ
347085,85203,33.4503587,-111.8028936,2745,Mesa,Maricopa,Arizona,AZ
347087,85213,33.4487329,-111.7690146,2566,Mesa,Maricopa,Arizona,AZ
347088,85205,33.4324202,-111.7185116,2497,Mesa,Maricopa,Arizona,AZ
347089,85131,32.6725108,-111.5472781,1051,Eloy,Pinal,Arizona,AZ
347090,85141,32.6430009,-111.4370935,38,Picacho,Pinal,Arizona,AZ
347091,85194,32.9011078,-111.628056,332,Casa Grande,nan,Arizona,AZ
347092,85128,32.9899342,-111.5379567,1227,Coolidge,Pinal,Arizona,AZ
347093,85145,32.5459981,-111.3475852,91,Red Rock,Pinal,Arizona,AZ
347094,85132,32.9267824,-111.2150974,1525,Florence,Pinal,Arizona,AZ
347095,85142,33.1999903,-111.6362938,3535,Queen Creek,Maricopa,Arizona,AZ
347096,85140,33.2445313,-111.5438122,2330,Queen Creek,nan,Arizona,AZ
347097,85143,33.1586612,-111.5190497,2266,Queen Creek,nan,Arizona,AZ
347098,85212,33.3223239,-111.6353419,2113,Mesa,Maricopa,Arizona,AZ
347100,85209,33.3754499,-111.6386696,2251,Mesa,nan,Arizona,AZ
347101,85208,33.4033068,-111.6280633,2040,Mesa,Maricopa,Arizona,AZ
347102,85120,33.4023861,-111.5678778,1406,Apache Junction,Pinal,Arizona,AZ
347104,85207,33.4545859,-111.6379719,3053,Mesa,Maricopa,Arizona,AZ
347105,85215,33.5118956,-111.5793965,897,Mesa,Maricopa,Arizona,AZ
347106,85119,33.4096855,-111.50196,1088,Apache Junction,Pinal,Arizona,AZ
347107,85118,33.4017827,-111.3517767,362,Gold Canyon,Pinal,Arizona,AZ
347112,85621,31.3879784,-110.9120012,2125,Nogales,Santa Cruz,Arizona,AZ
347113,85615,31.402633,-110.2117243,571,Hereford,Cochise,Arizona,AZ
347114,85620,31.3372825,-109.9413252,89,Naco,Cochise,Arizona,AZ
347116,85603,31.4326689,-109.9190564,407,Bisbee,Cochise,Arizona,AZ
347117,85608,31.4569114,-109.5809357,51,Douglas,Cochise,Arizona,AZ
347118,85626,31.3578103,-109.5666789,111,Pirtleville,Cochise,Arizona,AZ
347121,85648,31.4904412,-111.0380959,1808,Rio Rico,Santa Cruz,Arizona,AZ
347122,85640,31.5572311,-111.0477044,21,Tumacacori,Santa Cruz,Arizona,AZ
347123,85646,31.6473182,-110.9406893,29,Tubac,Santa Cruz,Arizona,AZ
347124,85622,31.8268505,-111.0755107,30,Green Valley,Pima,Arizona,AZ
347125,85629,31.917849,-111.0190488,1457,Sahuarita,Pima,Arizona,AZ
347126,85614,31.8143006,-110.9194,316,Green Valley,Pima,Arizona,AZ
347128,85624,31.5049712,-110.6929992,57,Patagonia,Santa Cruz,Arizona,AZ
347129,85637,31.7194658,-110.6908509,57,Sonoita,Santa Cruz,Arizona,AZ
