COUNTY,LAT,LONG,POPULATION,STATE,STATE_ABBREVIATION
Ross,39.2070364,-83.2788311,4989,Ohio,OH
Routt,40.200081,-106.9685648,1369,Colorado,CO
Rowan,38.2047976,-83.4155328,2471,Kentucky,KY
Rowan,35.544276,-80.6146458,8497,North Carolina,NC
Runnels,31.5920141,-100.1925813,763,Texas,TX
Rush,39.5454637,-85.6029076,1231,Indiana,IN
Rush,38.6164923,-99.5235713,192,Kansas,KS
Rusk,32.250339,-94.936535,2969,Texas,TX
Rusk,45.4494322,-91.4607596,1009,Wisconsin,WI
Russell,32.2744008,-85.4245033,5260,Alabama,AL
Russell,38.9141338,-99.0491142,412,Kansas,KS
Russell,36.9126574,-85.13806,1089,Kentucky,KY
Russell,36.8614307,-82.2717544,1770,Virginia,VA
Rutherford,35.4507537,-82.2536544,4229,North Carolina,NC
Rutherford,35.7454656,-86.6377536,20293,Tennessee,TN
Rutland,43.3659558,-73.228386,4327,Vermont,VT
Sabine,31.4091712,-93.4346356,1565,Louisiana,LA
Sabine,31.1136639,-94.0213851,792,Texas,TX
Sac,42.3263737,-95.235307,578,Iowa,IA
Sacramento,38.1403656,-121.589783,105610,California,CA
Sagadahoc,43.770817,-69.8191765,2048,Maine,ME
Saginaw,43.2509912,-84.2980419,15287,Michigan,MI
Saguache,38.1017075,-106.3458898,442,Colorado,CO
Salem,39.6191307,-75.5160963,4436,New Jersey,NJ
Salem (city),37.3025065,-80.1143247,2892,Virginia,VA
Saline,34.4178043,-92.6474991,3068,Arkansas,AR
Saline,37.6187254,-88.6603511,1861,Illinois,IL
Saline,38.7820251,-97.9079875,3906,Kansas,KS
Saline,38.9945189,-93.3813848,1908,Missouri,MO
Saline,40.4165473,-97.3257946,1364,Nebraska,NE
Salt Lake,40.6014729,-112.1172187,72652,Utah,UT
Saluda,33.7892865,-81.6727154,1154,South Carolina,SC
Sampson,34.811462,-78.4274145,3682,North Carolina,NC
San Augustine,31.245162,-94.1755136,499,Texas,TX
San Benito,36.5257034,-120.9521224,4444,California,CA
San Bernardino,33.9637226,-117.7385955,177227,California,CA
San Diego,33.3877228,-117.4447579,223733,California,CA
San Francisco,37.7222197,-122.4840766,34549,California,CA
San Jacinto,30.6339631,-95.1619119,1195,Texas,TX
San Joaquin,37.6739439,-121.5172275,58282,California,CA
San Juan,37.7652688,-107.5862466,17,Colorado,CO
San Juan,36.1414198,-108.6983393,9920,New Mexico,NM
San Juan,37.1271733,-110.3512686,1321,Utah,UT
San Juan,48.5712927,-123.1134486,746,Washington,WA
San Luis Obispo,35.0443956,-120.6201989,21700,California,CA
San Mateo,37.5269018,-122.5121638,42315,California,CA
San Miguel,37.9201631,-108.7267872,278,Colorado,CO
San Miguel,35.4168304,-105.6844752,2439,New Mexico,NM
San Patricio,28.1034445,-97.8081836,5464,Texas,TX
San Saba,31.2891229,-98.9954733,383,Texas,TX
Sanborn,43.9028719,-98.1826217,160,South Dakota,SD
Sanders,48.0582267,-115.9742578,735,Montana,MT
Sandoval,35.6323134,-107.0196186,9473,New Mexico,NM
Sandusky,41.4603686,-83.3645499,3639,Ohio,OH
Sangamon,39.5336704,-89.7618484,13069,Illinois,IL
Sanilac,43.2168697,-82.9851152,3029,Michigan,MI
Sanpete,39.0509645,-111.8262468,3608,Utah,UT
Santa Barbara,34.9198944,-120.6049691,38016,California,CA
Santa Clara,37.3747068,-122.1816985,113772,California,CA
Santa Cruz,31.6862787,-111.1606312,4353,Arizona,AZ
Santa Cruz,37.1143346,-122.2371618,22664,California,CA
Santa Fe,35.0766887,-106.1825365,8227,New Mexico,NM
Santa Rosa,30.3470609,-87.1131847,10620,Florida,FL
Sarasota,26.982666,-82.3541997,18070,Florida,FL
Saratoga,42.827793,-73.8481638,14000,New York,NY
Sargent,46.0433612,-97.8514709,285,North Dakota,ND
Sarpy,41.105185,-96.2583143,10905,Nebraska,NE
Sauk,43.1937388,-90.086262,3857,Wisconsin,WI
Saunders,41.0689009,-96.8394661,1422,Nebraska,NE
Sawyer,45.8360418,-91.4935131,1002,Wisconsin,WI
Schenectady,42.7575437,-74.1908674,12173,New York,NY
Schleicher,30.8831944,-100.5956829,239,Texas,TX
Schley,32.263441,-84.3227238,398,Georgia,GA
Schoharie,42.4533706,-74.4639128,2646,New York,NY
Schoolcraft,45.9619859,-86.4583057,538,Michigan,MI
Schuyler,40.168894,-90.8311006,435,Illinois,IL
Schuyler,40.4195608,-92.5408627,281,Missouri,MO
Schuyler,42.3007274,-77.0052492,1082,New York,NY
Schuylkill,40.5186909,-76.6445435,8711,Pennsylvania,PA
Scioto,38.6514302,-83.1906754,5708,Ohio,OH
Scotland,40.3045516,-92.065941,328,Missouri,MO
Scotland,34.7573616,-79.5648752,2632,North Carolina,NC
Scott,34.903819,-94.137036,930,Arkansas,AR
Scott,39.6227804,-90.4771178,319,Illinois,IL
Scott,38.6852014,-85.8440559,1827,Indiana,IN
Scott,41.4963252,-90.7803776,11067,Iowa,IA
