POINTID,ZIPCODE,LATITUDE,LONGITUDE,POINTTYPE,TESTCENTERID,TCTYPE,INSTITUTION,POPULATION
380084,19525,40.3056489,-75.585013,ZIP,,,,974
380085,19435,40.3274836,-75.5691742,ZIP,,,,8
380086,18074,40.3167375,-75.515686,ZIP,,,,360
380087,19533,40.4251029,-75.9926232,ZIP,,,,539
380088,19605,40.3979098,-75.9431969,ZIP,,,,1273
380089,19560,40.4061817,-75.8938013,ZIP,,,,525
380090,19555,40.4943816,-75.9539189,ZIP,,,,189
380091,19526,40.5471578,-75.9965701,ZIP,,,,695
380092,19549,40.584518,-76.0200345,ZIP,,,,11
380093,19510,40.4475284,-75.8776556,ZIP,,,,557
380094,19547,40.3800483,-75.7686029,ZIP,,,,265
380095,19522,40.4473683,-75.8204963,ZIP,,,,915
380096,19534,40.5740058,-75.881067,ZIP,,,,122
380097,19529,40.6313093,-75.8646139,ZIP,,,,194
380098,19530,40.5390702,-75.781445,ZIP,,,,2910
380099,17960,40.6972414,-75.9470438,ZIP,,,,217
380100,17982,40.7859321,-76.0213089,ZIP,,,,19
380101,18252,40.7669951,-75.9740973,ZIP,,,,632
380102,18237,40.8865306,-75.9796172,ZIP,,,,191
380103,18218,40.81974,-75.9161016,ZIP,,,,142
380104,18211,40.7440802,-75.8304056,ZIP,,,,61
380105,18250,40.8249635,-75.8462013,ZIP,,,,168
380106,18232,40.8330333,-75.884397,ZIP,,,,222
380107,18240,40.8646772,-75.8722648,ZIP,,,,187
380108,19536,40.4805775,-75.7589483,ZIP,,,,26
380109,19511,40.4859168,-75.7432297,ZIP,,,,9
380110,19539,40.499183,-75.687202,TESTCENTER,2272133,HIGH SCHOOL,BRANDYWINE HEIGHTS HIGH SCHOOL,
380111,19539,40.4963216,-75.6835401,ZIP,,,,319
380112,18011,40.4779743,-75.646129,ZIP,,,,349
380113,19562,40.5053788,-75.7026531,ZIP,,,,157
380114,18031,40.5520844,-75.6486743,ZIP,,,,323
380115,18051,40.5956066,-75.6669258,ZIP,,,,232
380116,19505,40.3791577,-75.6205052,ZIP,,,,196
380117,19504,40.4162171,-75.5885537,ZIP,,,,341
380118,19503,40.4065462,-75.5719512,ZIP,,,,78
380119,18070,40.4348662,-75.5356168,ZIP,,,,49
380120,18041,40.4204597,-75.509926,ZIP,,,,363
380121,18056,40.450942,-75.5503893,ZIP,,,,57
380122,18092,40.4696971,-75.51314,ZIP,,,,223
380123,18062,40.5039348,-75.5851796,ZIP,,,,1442
380124,18087,40.5568301,-75.5936539,ZIP,,,,32
380125,18106,40.56471,-75.568758,ZIP,,,,408
380126,18069,40.6252886,-75.6151252,ZIP,,,,763
380127,18104,40.6116576,-75.5468526,ZIP,,,,3468
380128,18066,40.6644616,-75.7401002,ZIP,,,,414
380129,18053,40.7192299,-75.7041173,ZIP,,,,174
380130,18079,40.7438729,-75.6585194,ZIP,,,,31
380131,18080,40.7358563,-75.6353075,ZIP,,,,787
380132,18212,40.7752529,-75.7095688,ZIP,,,,7
380133,18229,40.870002,-75.739665,TESTCENTER,2270912,HIGH SCHOOL,JIM THORPE HIGH SCHOOL,
380134,18235,40.830024,-75.706088,TESTCENTER,2271870,HIGH SCHOOL,LEHIGHTON AREA HIGH SCHOOL,
380135,18235,40.8297961,-75.6978601,ZIP,,,,1054
380136,18030,40.8022629,-75.6637198,ZIP,,,,31
380137,18244,40.8224447,-75.670561,ZIP,,,,31
380138,18078,40.6733036,-75.6207172,ZIP,,,,550
380139,18037,40.6831026,-75.5480101,ZIP,,,,485
380140,18052,40.657428,-75.5042549,ZIP,,,,1726
380141,18059,40.7235063,-75.5430808,ZIP,,,,128
380142,18086,40.7368067,-75.54793,ZIP,,,,25
380143,18035,40.7453229,-75.5385436,ZIP,,,,11
380144,18088,40.7656925,-75.5575092,ZIP,,,,483
380145,18071,40.8342139,-75.5552778,ZIP,,,,632
380146,17815,41.0200378,-76.4200918,ZIP,,,,4114
380147,17846,41.1417449,-76.5171217,ZIP,,,,202
380148,17820,40.895639,-76.4037385,ZIP,,,,316
380149,17859,41.116755,-76.3985369,ZIP,,,,172
380150,18631,41.0299068,-76.3043738,ZIP,,,,69
380151,17774,41.281191,-76.5330133,ZIP,,,,65
380152,17758,41.3601469,-76.5355339,ZIP,,,,70
380153,18626,41.3982855,-76.5238758,ZIP,,,,26
380154,17814,41.2732371,-76.3631422,ZIP,,,,440
380155,17878,41.1760183,-76.3234885,ZIP,,,,91
380156,17985,40.9123025,-76.2166475,ZIP,,,,68
380157,18246,40.9572148,-76.1951848,ZIP,,,,6
380158,18603,41.0820348,-76.2581393,ZIP,,,,1326
380159,18635,41.0292397,-76.2013466,ZIP,,,,239
380160,18242,40.9113878,-76.1243219,ZIP,,,,12
380161,18256,40.9408864,-76.1467553,ZIP,,,,14
380162,18241,40.951524,-76.1308023,ZIP,,,,49
380163,18248,40.9011601,-76.0930678,ZIP,,,,32
380164,18249,40.9877937,-76.1161168,ZIP,,,,264
380165,18202,40.9544325,-76.0459874,ZIP,,,,1156
380166,18219,40.9907867,-76.0574558,ZIP,,,,63
380167,18660,41.0977332,-76.062014,ZIP,,,,245
380168,18622,41.2012324,-76.2735152,ZIP,,,,18
380169,18655,41.1877245,-76.2032138,ZIP,,,,417
380170,18656,41.3325242,-76.185452,ZIP,,,,152
380171,18621,41.2486007,-76.0985458,ZIP,,,,364
380172,18617,41.1705402,-76.0775335,ZIP,,,,134
380173,18634,41.1855121,-76.0226193,ZIP,,,,809
380174,18636,41.3914102,-76.1136514,ZIP,,,,85
380175,18618,41.365177,-76.0414035,ZIP,,,,270
380176,18614,41.524947,-76.4969962,ZIP,,,,149
380177,18833,41.5971688,-76.4836206,ZIP,,,,113
380178,18632,41.4593596,-76.3774948,ZIP,,,,14
380179,18628,41.4301434,-76.3138079,ZIP,,,,11
380180,18848,41.7510571,-76.4547414,ZIP,,,,581
380181,18810,41.9332946,-76.5071303,ZIP,,,,395
380182,18850,41.8542573,-76.4623841,ZIP,,,,170
380183,18854,41.7906841,-76.3557474,ZIP,,,,104
380184,18837,41.9150541,-76.3028378,ZIP,,,,205
380185,18846,41.6214106,-76.2299861,ZIP,,,,52
380186,18629,41.5176035,-76.1413387,ZIP,,,,108
380187,18623,41.6648006,-76.1519837,ZIP,,,,181
380188,18630,41.6621435,-76.0236361,ZIP,,,,233
380189,18853,41.701499,-76.275433,TESTCENTER,2274004,HIGH SCHOOL,WYALUSING VALLEY HIGH SCHOOL,
380190,18853,41.7214137,-76.2769245,ZIP,,,,270
380191,18845,41.787369,-76.1821629,ZIP,,,,25
380192,18829,41.8376442,-76.1736935,ZIP,,,,50
380193,18851,41.9339022,-76.1764632,ZIP,,,,39
380194,18828,41.8067237,-76.0961649,ZIP,,,,19
380195,18818,41.9112584,-76.0440111,ZIP,,,,86
380196,18231,40.9043041,-76.0079843,ZIP,,,,31
380197,18254,40.915913,-75.9656512,ZIP,,,,42
380198,18202,40.960185,-75.976455,TESTCENTER,2270719,HIGH SCHOOL,HAZLETON AREA HIGH SCHOOL,
380199,18239,40.9893373,-75.988272,ZIP,,,,18
380200,18225,40.9813114,-75.9713112,ZIP,,,,8
380201,18234,40.9925937,-75.9643501,ZIP,,,,28
380202,18230,40.9210832,-75.9345276,ZIP,,,,9
380203,18201,40.9490376,-75.9556378,ZIP,,,,2144
380204,18216,40.9414963,-75.8928582,ZIP,,,,72
380205,18223,40.9823531,-75.9502869,ZIP,,,,3
380206,18221,41.0017779,-75.9173327,ZIP,,,,21
380207,18222,41.0352274,-76.0034682,ZIP,,,,773
380208,18707,41.1357502,-75.9334992,ZIP,,,,1105
380209,18255,40.9334914,-75.8296954,ZIP,,,,276
380210,18224,41.019557,-75.888001,TESTCENTER,2272951,HIGH SCHOOL,THE MMI PREPARATORY SCHOOL,
380211,18224,41.0262754,-75.8732634,ZIP,,,,384
380212,18651,41.2540405,-75.9598448,ZIP,,,,576
380213,18706,41.2032892,-75.9148034,ZIP,,,,928
380214,18704,41.262553,-75.9146356,ZIP,,,,2078
380215,18709,41.2854692,-75.8963876,ZIP,,,,142
380216,18708,41.295848,-75.9634627,ZIP,,,,593
380217,18612,41.3460879,-75.9863803,ZIP,,,,1341
380218,18612,41.363762,-75.958911,TESTCENTER,2269744,HIGH SCHOOL,DALLAS HIGH SCHOOL,
380219,18702,41.236512,-75.882557,TESTCENTER,2270772,4 YR COLLEGE/UNIVERSITY,"KING'S COLLEGE",
380220,18701,41.2436479,-75.8850286,ZIP,,,,888
380221,18704,41.274223,-75.890338,TESTCENTER,2273327,HIGH SCHOOL,WYOMING SEMINARY COLLEGE PREP,
380222,18705,41.2718338,-75.8427348,ZIP,,,,853
380223,18644,41.3279296,-75.882372,ZIP,,,,431
380224,18643,41.3708219,-75.8404222,ZIP,,,,734
380225,18653,41.3933162,-75.8231305,ZIP,,,,11
380226,18642,41.356348,-75.7731814,ZIP,,,,239
380227,18229,40.9310939,-75.6737789,ZIP,,,,500
380228,18661,41.0763788,-75.7407242,ZIP,,,,348
380229,18624,41.0606859,-75.6470642,ZIP,,,,25
380230,18210,41.0044341,-75.5765361,ZIP,,,,580
380231,18610,41.0693394,-75.5494687,ZIP,,,,407
380232,18347,41.1388815,-75.5602286,ZIP,,,,190
380233,18602,41.1859515,-75.7539875,ZIP,,,,10
380234,18702,41.230476,-75.7574409,ZIP,,,,2662
380235,18640,41.2982301,-75.7387253,ZIP,,,,1039
380236,18641,41.3405333,-75.7257293,ZIP,,,,404
380237,18518,41.375058,-75.7395574,ZIP,,,,450
380238,18517,41.3946413,-75.7136357,ZIP,,,,309
380239,18507,41.3590381,-75.6818233,ZIP,,,,262
380240,18503,41.4111073,-75.6674701,ZIP,,,,151
380241,18505,41.3862025,-75.651527,ZIP,,,,1336
380242,18510,41.4073785,-75.6366126,ZIP,,,,1818
380243,18424,41.2304777,-75.5249648,ZIP,,,,358
380244,18444,41.3290743,-75.5527699,ZIP,,,,971
380245,18444,41.343194,-75.530137,TESTCENTER,2269619,HIGH SCHOOL,NORTH POCONO HIGH SCHOOL,
380246,18657,41.5225103,-75.9594852,ZIP,,,,836
380247,18615,41.4617016,-75.8572032,ZIP,,,,110
380248,18625,41.513387,-75.8488215,ZIP,,,,42
380249,18419,41.5859333,-75.7923687,ZIP,,,,421
380250,18844,41.69097,-75.9052387,ZIP,,,,129
380251,18816,41.7571574,-75.9156331,ZIP,,,,12
380252,18843,41.7944572,-75.899586,ZIP,,,,15
380253,18801,41.8263888,-75.9397114,ZIP,,,,601
380254,18824,41.6973657,-75.787183,ZIP,,,,82
380255,18826,41.765856,-75.783101,TESTCENTER,2272070,OTHER,MOUNTAIN VIEW HIGH SCHOOL,
380256,18411,41.4544918,-75.7445406,ZIP,,,,1550
380257,18504,41.4255215,-75.6998669,ZIP,,,,1507
380258,18414,41.5410721,-75.7410682,ZIP,,,,376
380259,18411,41.487795,-75.705713,TESTCENTER,2270734,HIGH SCHOOL,ABINGTON HEIGHTS HIGH SCHOOL,
380260,18508,41.438917,-75.662529,TESTCENTER,2273656,HIGH SCHOOL,SCRANTON HIGH SCHOOL,
380261,18509,41.4308361,-75.6429074,ZIP,,,,1165
380262,18508,41.4549473,-75.6579367,ZIP,,,,773
380263,18519,41.4619386,-75.6307185,ZIP,,,,275
380264,18471,41.5290934,-75.6911804,ZIP,,,,56
380265,18446,41.6561746,-75.7591431,ZIP,,,,278
380266,18512,41.426229,-75.601387,ZIP,,,,687
380267,18452,41.4836279,-75.5902823,ZIP,,,,266
380268,18447,41.5134477,-75.6071658,ZIP,,,,538
380269,18434,41.4539519,-75.5429852,ZIP,,,,254
380270,18403,41.495633,-75.555232,TESTCENTER,2272073,HIGH SCHOOL,VALLEY VIEW HIGH SCHOOL,
380271,18403,41.5097015,-75.5350455,ZIP,,,,460
380272,18433,41.5733074,-75.5813301,ZIP,,,,412
380273,18441,41.6560529,-75.6139422,ZIP,,,,18
380274,18413,41.6481277,-75.5893424,ZIP,,,,17
380275,18407,41.5917535,-75.534793,ZIP,,,,806
380276,18826,41.7457464,-75.7488934,ZIP,,,,131
380277,18823,41.7783259,-75.6901238,ZIP,,,,10
380278,18834,41.8309672,-75.7209338,ZIP,,,,248
380279,18842,41.7497036,-75.6234431,ZIP,,,,17
380280,18825,41.8078827,-75.6077276,ZIP,,,,8
380281,18470,41.7247062,-75.5355165,ZIP,,,,136
380282,18847,41.92882,-75.5790309,ZIP,,,,410
380283,18465,41.8312992,-75.5168486,ZIP,,,,66
380284,49229,41.9870127,-83.8272392,ZIP,,,,270
380285,48176,42.1368357,-83.82925,ZIP,,,,1701
380286,48176,42.18,-83.77,TESTCENTER,2267800,HIGH SCHOOL,SALINE HIGH SCHOOL,
380287,48131,41.9643355,-83.6661495,ZIP,,,,490
380288,48160,42.0781642,-83.6749707,ZIP,,,,925
380289,48160,42.09,-83.68,TESTCENTER,2267797,HIGH SCHOOL,MILAN HIGH SCHOOL,
380290,48197,42.1940339,-83.6399843,ZIP,,,,5621
380291,48103,42.2613504,-83.8464579,ZIP,,,,2861
380292,48130,42.32,-83.88,TESTCENTER,2267792,HIGH SCHOOL,DEXTER HIGH SCHOOL,
380293,48103,42.279379,-83.783998,TESTCENTER,2267786,HIGH SCHOOL,PIONEER HIGH SCHOOL,
380294,48103,42.279379,-83.783998,TESTCENTER,2272269,HIGH SCHOOL,SKYLINE HIGH SCHOOL,
380295,48139,42.4524517,-83.8060498,ZIP,,,,15
380296,48189,42.4123364,-83.7828545,ZIP,,,,893
380297,48106,42.22,-83.73,TESTCENTER,2267788,2 YR COMM COLLEGE,WASHTENAW COMMUNITY COLLEGE,
380298,48108,42.2216941,-83.7322649,ZIP,,,,1591
380299,48104,42.2634838,-83.7151203,ZIP,,,,3722
380300,48109,42.2891865,-83.7087803,ZIP,,,,5054
380301,48105,42.304247,-83.706756,TESTCENTER,2267787,HIGH SCHOOL,HURON HIGH SCHOOL,
380302,48105,42.304247,-83.706756,TESTCENTER,2273719,4 YR COLLEGE/UNIVERSITY,CONCORDIA UNIVERSITY,
380303,48105,42.3276344,-83.6964436,ZIP,,,,2831
380304,48178,42.4437683,-83.6568721,ZIP,,,,2010
380305,48159,42.019159,-83.5479561,ZIP,,,,185
380306,48190,42.131536,-83.5938068,ZIP,,,,9
380307,48191,42.1216288,-83.5705901,ZIP,,,,312
380308,48162,41.978166,-83.461375,TESTCENTER,2267799,HIGH SCHOOL,SAINT MARY CATHOLIC CENTRAL H S,
380309,48162,41.9604252,-83.4293233,ZIP,,,,2119
380310,48117,42.0502593,-83.4101875,ZIP,,,,759
380311,48111,42.1773124,-83.4884438,ZIP,,,,2907
380312,48164,42.1245713,-83.3868655,ZIP,,,,676
380313,48198,42.275075,-83.5863399,ZIP,,,,2601
380314,48170,42.3676895,-83.5343063,ZIP,,,,2291
380315,48168,42.4052615,-83.5404983,ZIP,,,,1400
380316,48167,42.4323151,-83.5246583,ZIP,,,,1245
380317,48188,42.2838857,-83.4819334,ZIP,,,,2815
380318,48187,42.3255729,-83.4835758,ZIP,,,,3591
380319,48187,42.33,-83.47,TESTCENTER,2267803,HIGH SCHOOL,CANTON HIGH SCHOOL,
380320,48187,42.33,-83.47,TESTCENTER,2267804,HIGH SCHOOL,SALEM HIGH SCHOOL,
380321,48187,42.332013,-83.469524,TESTCENTER,2268727,HIGH SCHOOL,PLYMOUTH HIGH SCHOOL,
380322,48174,42.234298,-83.3943243,ZIP,,,,2572
380323,48184,42.2744787,-83.3956231,ZIP,,,,1237
380324,48186,42.2937641,-83.3707389,ZIP,,,,2527
380325,48185,42.3339011,-83.3842091,ZIP,,,,2929
380326,48185,42.318882,-83.374908,TESTCENTER,2268510,HIGH SCHOOL,LUTHERAN HIGH SCHOOL - WESTLAND,
380327,48185,42.318882,-83.374908,TESTCENTER,2270882,HIGH SCHOOL,HURON VALLEY LUTHERAN HIGH SCH,
380328,48375,42.45,-83.49,TESTCENTER,2267864,HIGH SCHOOL,NOVI HIGH SCHOOL,
380329,48375,42.4641407,-83.463958,ZIP,,,,1397
380330,48150,42.35,-83.41,TESTCENTER,2267794,HIGH SCHOOL,WINSTON CHURCHILL HIGH SCHOOL,
380331,48150,42.38,-83.4,TESTCENTER,2267795,4 YR COLLEGE/UNIVERSITY,MADONNA UNIVERSITY,
380332,48150,42.3716044,-83.3767879,ZIP,,,,1794
380333,48154,42.3971831,-83.3723195,ZIP,,,,2824
380334,48335,42.4628724,-83.4050328,ZIP,,,,1176
380335,48152,42.4249348,-83.3742642,ZIP,,,,2119
380336,48152,42.425793,-83.363603,TESTCENTER,2267796,HIGH SCHOOL,ADLAI E STEVENSON-LIVONIA HIGH SCH,
380337,48152,42.425793,-83.363603,TESTCENTER,2273643,HIGH SCHOOL,CLARENCEVILLE HIGH SCHOOL,
380338,48116,42.5057438,-83.7828917,ZIP,,,,1792
380339,48116,42.537069,-83.775628,TESTCENTER,2267990,HIGH SCHOOL,BRIGHTON HIGH SCHOOL,
380340,48114,42.5717527,-83.7495727,ZIP,,,,1437
380341,48380,42.5830021,-83.6668237,ZIP,,,,582
380342,48353,42.6468699,-83.7159429,ZIP,,,,504
380343,48357,42.6585715,-83.6465448,ZIP,,,,652
380344,48451,42.8012217,-83.8191718,ZIP,,,,984
380345,48451,42.810379,-83.799281,TESTCENTER,2267870,HIGH SCHOOL,LAKE FENTON HIGH SCHOOL,
380346,48436,42.865301,-83.8768014,ZIP,,,,310
380347,48473,42.9369499,-83.8205439,ZIP,,,,1513
380348,48473,42.946776,-83.817005,TESTCENTER,2270873,HIGH SCHOOL,SWARTZ CREEK HIGH SCHOOL,
380349,48430,42.7582154,-83.7436829,ZIP,,,,2572
380350,48430,42.785098,-83.729351,TESTCENTER,2268426,HIGH SCHOOL,FENTON HIGH SCHOOL,
380351,48507,42.9669664,-83.7173591,ZIP,,,,2151
380352,48439,42.9163989,-83.6293743,ZIP,,,,3258
380353,48507,42.97303,-83.688999,TESTCENTER,2267884,HIGH SCHOOL,FLINT SOUTHWESTERN ACADEMY,
380354,48529,42.97268,-83.671064,TESTCENTER,2268628,HIGH SCHOOL,BENDLE HIGH SCHOOL,
380355,48529,42.9703379,-83.6585901,ZIP,,,,845
380356,48165,42.501565,-83.6169224,ZIP,,,,402
380357,48381,42.5584116,-83.5917929,ZIP,,,,863
380358,48393,42.5218381,-83.5450877,ZIP,,,,1040
380359,48374,42.4732261,-83.5228625,ZIP,,,,1400
380360,48374,42.473495,-83.522423,TESTCENTER,2267833,HIGH SCHOOL,DETROIT CATHOLIC CENTRAL H S,
380361,48382,42.5923954,-83.5063653,ZIP,,,,1728
380362,48382,42.589424,-83.49467,TESTCENTER,2268827,HIGH SCHOOL,WALLED LAKE NORTHERN HIGH SCH,
380363,48357,42.66,-83.61,TESTCENTER,2267862,HIGH SCHOOL,MILFORD HIGH SCHOOL,
380364,48356,42.6544138,-83.5929054,ZIP,,,,552
380365,48383,42.6556097,-83.5258239,ZIP,,,,1013
380366,48377,42.5053681,-83.473579,ZIP,,,,643
380367,48390,42.550384,-83.479623,TESTCENTER,2267166,HIGH SCHOOL,WALLED LAKE CENTRAL HIGH SCHOOL,
380368,48390,42.550384,-83.479623,TESTCENTER,2267865,HIGH SCHOOL,WALLED LAKE WESTERN HIGH SCHOOL,
380369,48390,42.5507106,-83.4742179,ZIP,,,,1473
380370,48331,42.5024831,-83.4089353,ZIP,,,,1506
380371,48322,42.537824,-83.384526,ZIP,,,,2127
380372,48324,42.595022,-83.3912304,ZIP,,,,1326
380373,48323,42.5708041,-83.3779085,ZIP,,,,1320
380374,48386,42.6602231,-83.4799903,ZIP,,,,1220
380375,48346,42.7178818,-83.4287026,ZIP,,,,1610
380376,48327,42.6369326,-83.4099874,ZIP,,,,1322
380377,48346,42.721637,-83.405658,TESTCENTER,2266573,HIGH SCHOOL,CLARKSTON SENIOR HIGH SCHOOL,
380378,48329,42.6870157,-83.3886216,ZIP,,,,1652
380379,48329,42.687663,-83.387869,TESTCENTER,2267856,HIGH SCHOOL,WATERFORD KETTERING HIGH SCHOOL,
380380,48329,42.687663,-83.387869,TESTCENTER,2267857,HIGH SCHOOL,OUR LADY OF THE LAKES HIGH SCHOOL,
380381,48442,42.79,-83.61,TESTCENTER,2267874,HIGH SCHOOL,HOLLY HIGH SCHOOL,
380382,48442,42.7886803,-83.6061018,ZIP,,,,1375
380383,48350,42.7394182,-83.5310441,ZIP,,,,529
380384,48439,42.92,-83.62,TESTCENTER,2267872,HIGH SCHOOL,GRAND BLANC HIGH SCHOOL,
380385,48519,42.9818911,-83.6049529,ZIP,,,,480
380386,48411,42.9319813,-83.5289065,ZIP,,,,6
380387,48348,42.768594,-83.4044513,ZIP,,,,1912
380388,48462,42.8484757,-83.4217544,ZIP,,,,1139
380389,48438,42.913657,-83.4841653,ZIP,,,,595
380390,48440,42.9510943,-83.4122594,ZIP,,,,15
380391,48166,41.9828051,-83.2947144,ZIP,,,,931
380392,48179,42.0350925,-83.2554499,ZIP,,,,239
380393,48164,42.144899,-83.358855,TESTCENTER,2267475,HIGH SCHOOL,HURON HIGH SCHOOL,
380394,48134,42.1066927,-83.2961558,ZIP,,,,1543
380395,48173,42.0736789,-83.2127735,ZIP,,,,864
380396,48183,42.131459,-83.2177918,ZIP,,,,2974
380397,48193,42.1732817,-83.2098369,ZIP,,,,1049
380398,48195,42.2049746,-83.2065107,ZIP,,,,2016
380399,48195,42.2,-83.2,TESTCENTER,2267807,HIGH SCHOOL,SOUTHGATE - ANDERSON HIGH SCHOOL,
380400,48192,42.196065,-83.182112,TESTCENTER,2267806,HIGH SCHOOL,RIVERVIEW COMMUNITY HIGH SCHOOL,
380401,48192,42.196065,-83.182112,TESTCENTER,2274047,HIGH SCHOOL,THEODORE ROOSEVELT HIGH SCHOOL,
380402,48192,42.196065,-83.182112,TESTCENTER,2274048,HIGH SCHOOL,GABRIEL RICHARD CATHOLIC HS,
380403,48138,42.1339782,-83.1539214,ZIP,,,,758
380404,48135,42.3243842,-83.3412117,ZIP,,,,1976
380405,48141,42.28,-83.32,TESTCENTER,2267793,HIGH SCHOOL,INKSTER HIGH SCHOOL,
380406,48141,42.2939694,-83.3200737,ZIP,,,,2186
380407,48180,42.225283,-83.2676908,ZIP,,,,4642
380408,48125,42.2773338,-83.2648321,ZIP,,,,1544
380409,48127,42.3357932,-83.2832964,ZIP,,,,2711
380410,48125,42.276824,-83.260603,TESTCENTER,2268514,HIGH SCHOOL,HAMILTON J ROBICHAUD JR SR HS,
380411,48125,42.276824,-83.260603,TESTCENTER,2273798,HIGH SCHOOL,ANNAPOLIS HIGH SCHOOL,
380412,48124,42.294141,-83.253565,TESTCENTER,2268507,HIGH SCHOOL,DEARBORN HIGH SCHOOL,
380413,48124,42.29,-83.25,TESTCENTER,2267790,HIGH SCHOOL,EDSEL B FORD HIGH SCHOOL,
380414,48124,42.2980362,-83.2476095,ZIP,,,,1924
380415,48128,42.3204109,-83.2599691,ZIP,,,,743
