NH,2,572.0
NH,4,4102.8
NH,6,4167.28
NH,9,4105.79
NH,10,4690.01
NH,12,2223.52
NJ,2,12844.0
NJ,4,24639.68
NJ,6,44377.45
NJ,9,25163.71
NJ,10,30574.57
NJ,12,14717.43
NM,2,13846.82
NM,4,21149.96
NM,6,12261.47
NM,9,8102.51
NM,10,22776.26
NM,12,17420.78
NV,2,5678.27
NV,4,6247.67
NV,6,7378.54
NV,9,4456.66
NV,10,9013.03
NV,12,10571.08
NY,4,53574.04
NY,6,109299.32
NY,9,43033.38
NY,10,77907.31
NY,12,47048.95
OH,2,97930.43
OH,4,130996.06
OH,6,136736.08
OH,9,93154.62
OH,10,49.53
OH,12,121610.58
OK,2,50910.86
OK,4,56254.77
OK,6,36776.22
OK,9,25666.68
OK,10,49058.75
OK,12,62041.2
OR,2,2754.96
OR,4,8298.55
OR,6,8420.49
OR,9,5047.51
OR,10,8777.86
OR,12,7746.05
PA,2,13313.04
PA,4,38044.37
PA,6,35747.92
PA,9,27454.7
PA,10,30690.01
PA,12,17768.79
RI,2,514.67
RI,4,2044.77
RI,6,1833.0
RI,9,1253.46
RI,10,2897.7
RI,12,1445.73
SC,2,23416.38
SC,4,16865.29
SC,6,18678.14
SC,9,18089.89
SC,10,28596.23
SC,12,30380.35
SD,2,6123.13
SD,4,13764.27
SD,6,7719.4
SD,9,3525.34
SD,10,8021.0
SD,12,8648.77
TN,2,51609.35
TN,4,56823.0
TN,6,64743.38
TN,9,50974.04
TN,10,70987.02
TN,12,83148.39
TX,2,118597.44
TX,4,182920.79
TX,6,152922.77
TX,9,86521.63
TX,10,174691.79
TX,12,154701.43
UT,2,12214.02
UT,4,11253.45
UT,6,19787.3
UT,9,17152.72
UT,10,45422.78
UT,12,24504.61
VA,2,13735.8
VA,4,19381.83
VA,6,30052.36
VA,9,23206.69
VA,10,29603.34
VA,12,23966.41
VT,2,597.48
VT,4,3315.91
VT,6,2672.41
VT,9,1681.29
VT,10,2566.59
VT,12,1321.19
WA,2,9011.47
WA,4,13451.88
WA,6,24606.79
WA,9,12298.65
WA,10,18136.56
WA,12,15533.44
WI,2,33278.31
WI,4,59923.37
WI,6,74040.85
WI,9,33525.18
WI,10,36920.0
WI,12,35137.83
WV,2,16141.58
WV,4,16589.43
WV,6,16843.71
WV,9,6911.45
WV,10,14702.61
WV,12,17707.95
WY,2,2405.13
WY,4,1906.45
WY,6,1366.95
WY,9,1113.71
WY,10,3372.59
WY,12,4422.08
