COUNTY,LAT,LONG,POPULATION,STATE,STATE_ABBREVIATION,ID2
Blackford,40.466214,-85.34037430000001,883,Indiana,IN,18009
Bladen,34.5581217,-78.7727155,2139,North Carolina,NC,37017
Blaine,43.7424779,-114.63831110000001,1210,Idaho,ID,16013
Blaine,48.5315842,-109.238565,461,Montana,MT,30005
Blaine,41.8258349,-100.2053827,31,Nebraska,NE,31009
Blaine,36.052152,-98.6637188,701,Oklahoma,OK,40043
Blair,40.2825496,-78.5042835,9378,Pennsylvania,PA,42009
Blanco,30.1829141,-98.5665485,2873,Texas,TX,48031
Bland,36.995958,-81.3871242,379,Virginia,VA,51021
Bleckley,32.415886,-83.34907700000001,1738,Georgia,GA,13023
Bledsoe,35.6274088,-85.2361802,731,Tennessee,TN,47007
Blount,33.9378796,-86.75834870000001,3021,Alabama,AL,01009
Blount,35.620641600000006,-83.89401120000001,7610,Tennessee,TN,47009
Blue Earth,43.9563544,-94.2440398,5891,Minnesota,MN,27013
Boise,43.9118705,-116.1304179,318,Idaho,ID,16015
Bolivar,33.5592437,-91.0523512,2741,Mississippi,MS,28011
Bollinger,37.1210824,-90.133127,792,Missouri,MO,29017
Bon Homme,42.8461992,-97.9452465,422,South Dakota,SD,46009
Bond,38.786795399999995,-89.5838563,1264,Illinois,IL,17005
Bonner,48.045283399999995,-116.97134399999999,2311,Idaho,ID,16017
Bonneville,43.421904600000005,-112.01153529999999,7516,Idaho,ID,16019
Boone,36.244796,-93.3307178,2615,Arkansas,AR,05015
Boone,42.39252570000001,-88.8979038,4247,Illinois,IL,17007
Boone,39.9711487,-86.6228267,4097,Indiana,IN,18011
Boone,41.8983104,-93.8012355,1575,Iowa,IA,19015
Boone,39.054689700000004,-84.824178,8197,Kentucky,KY,21015
Boone,38.7110674,-92.2966415,14877,Missouri,MO,29019
Boone,41.655561,-98.2425142,382,Nebraska,NE,31011
Boone,37.9735831,-81.88118759999999,1490,West Virginia,WV,54005
Borden,32.7519339,-101.47483670000001,25,Texas,TX,48033
Bosque,31.7690028,-97.80442640000001,1252,Texas,TX,48035
Bossier,32.4530173,-93.620859,7591,Louisiana,LA,22015
Botetourt,37.3465226,-79.95357990000001,3361,Virginia,VA,51161
Bottineau,48.610954299999996,-101.3975287,462,North Dakota,ND,38009
Boulder,39.9744828,-105.5469917,23974,Colorado,CO,08013
Boundary,48.5778594,-116.44909270000001,740,Idaho,ID,16021
Bourbon,37.71914,-94.65600690000001,1222,Kansas,KS,20011
Bourbon,38.2088847,-84.22720129999999,1272,Kentucky,KY,21017
Bowie,33.3250043,-94.5506588,6353,Texas,TX,48037
Bowman,46.0971958,-103.1305491,194,North Dakota,ND,38011
Box Butte,42.2755085,-103.3504527,785,Nebraska,NE,31013
Box Elder,41.7604977,-113.41885729999998,4007,Utah,UT,49003
Boyd,38.3069896,-82.7510087,3280,Kentucky,KY,21019
Boyd,42.9265124,-99.1300158,140,Nebraska,NE,31015
Boyle,37.6339327,-84.97824229999999,2256,Kentucky,KY,21021
Bracken,38.7616884,-84.2049504,656,Kentucky,KY,21023
Bradford,29.9080538,-82.3188448,1450,Florida,FL,12007
Bradford,41.6425283,-76.805113,4017,Pennsylvania,PA,42015
Bradley,33.32692419999999,-92.2957673,778,Arkansas,AR,05011
Bradley,35.1150099,-84.9890965,6960,Tennessee,TN,47011
Branch,41.851471000000004,-85.1902338,3089,Michigan,MI,26023
Brantley,31.1427011,-82.11940729999999,1180,Georgia,GA,13025
Braxton,38.6555047,-80.871607,781,West Virginia,WV,54007
Brazoria,29.0863188,-95.766667,23237,Texas,TX,48039
Brazos,30.677687100000004,-96.48360079999999,23478,Texas,TX,48041
Breathitt,37.409384499999994,-83.3010265,1046,Kentucky,KY,21025
Breckinridge,37.6015365,-86.456025,1181,Kentucky,KY,21027
Bremer,42.6510205,-92.4971684,2169,Iowa,IA,19017
Brevard,28.199119699999997,-80.781941,34526,Florida,FL,12009
Brewster,29.166113899999996,-103.27053559999999,481,Texas,TX,48043
Briscoe,34.4574777,-101.2871607,100,Texas,TX,48045
Bristol,41.8421063,-71.32230940000001,38686,Massachusetts,MA,25005
Bristol,41.5970547,-71.3206662,4135,Rhode Island,RI,44005
Bristol (city),36.6563096,-82.2122194,1865,Virginia,VA,51191
Broadwater,46.172520899999995,-111.5898267,308,Montana,MT,30007
Bronx,40.8204787,-73.92508409999999,115106,New York,NY,36005
Brooke,40.1934325,-80.6680436,1475,West Virginia,WV,54009
Brookings,44.2423481,-97.04401109999999,3630,South Dakota,SD,46011
Brooks,30.8781673,-83.72453320000001,892,Georgia,GA,13027
Brooks,26.880516999999998,-98.21621259999999,580,Texas,TX,48047
Broome,42.1333325,-76.08462220000001,16041,New York,NY,36007
Broward,26.006735199999998,-80.46015240000001,114200,Florida,FL,12011
Brown,40.0063425,-90.86852009999998,398,Illinois,IL,17009
Brown,39.1795298,-86.2355113,894,Indiana,IN,18013
Brown,39.816145399999996,-95.73839040000001,687,Kansas,KS,20013
Brown,44.240509,-94.97524840000001,1868,Minnesota,MN,27015
Brown,42.359561799999994,-99.9239198,184,Nebraska,NE,31017
Brown,38.7903375,-83.9669376,2748,Ohio,OH,39015
Brown,45.663342,-98.68398420000001,2435,South Dakota,SD,46013
Brown,31.517913399999998,-99.1354675,2743,Texas,TX,48049
Brown,44.3257285,-88.17579479999999,17646,Wisconsin,WI,55009
Brule,43.75214129999999,-99.29246459999999,371,South Dakota,SD,46015
Brunswick,33.9179874,-78.5919532,5272,North Carolina,NC,37019
Brunswick,36.5788225,-77.977561,1141,Virginia,VA,51025
Bryan,32.185059499999994,-81.65977509999999,2673,Georgia,GA,13031
Bryan,33.873765399999996,-96.5604393,3176,Oklahoma,OK,40013
Buchanan,42.4532052,-92.09323020000001,1487,Iowa,IA,19013
Buchanan,39.5612,-95.017149,4780,Missouri,MO,29021
Buchanan,37.1176854,-82.1485244,1375,Virginia,VA,51027
Buckingham,37.5863211,-78.6235353,730,Virginia,VA,51029
Bucks,40.366236799999996,-75.3258449,39316,Pennsylvania,PA,42017
Buena Vista,42.68843579999999,-95.31902690000001,1742,Iowa,IA,19021
Buena Vista (city),37.722496899999996,-79.36086379999999,719,Virginia,VA,51530
Buffalo,40.709811,-99.37398590000001,3924,Nebraska,NE,31019
Buffalo,44.1021758,-99.4172926,177,South Dakota,SD,46017
Buffalo,44.273357700000005,-91.77388149999999,942,Wisconsin,WI,55011
Bullitt,38.064495,-85.75037270000001,4075,Kentucky,KY,21029
Bulloch,32.3253148,-81.88878050000001,8267,Georgia,GA,13031
Bullock,32.1818722,-85.9331538,764,Alabama,AL,01011
Buncombe,35.5119658,-82.7117015,13900,North Carolina,NC,37021
Bureau,41.2802455,-89.7943947,2304,Illinois,IL,17011
Burke,32.79705,-82.22494509999999,1590,Georgia,GA,13107
Burke,35.6503914,-81.5375599,6339,North Carolina,NC,37023
Burke,48.8398716,-102.7968315,104,North Dakota,ND,38013
Burleigh,46.737571200000005,-100.67840600000001,5449,North Dakota,ND,38015
Burleson,30.398612,-96.49785179999999,1101,Texas,TX,48051
Burlington,39.6063608,-74.46671529999999,29854,New Jersey,NJ,34005
Burnet,30.531338899999998,-98.37834709999998,2535,Texas,TX,48299
Burnett,45.751262100000005,-92.6923834,803,Wisconsin,WI,55013
Burt,41.8255536,-96.492473,413,Nebraska,NE,31021
Butler,31.5684045,-86.8061508,1375,Alabama,AL,01013
Butler,42.6018309,-92.8964771,908,Iowa,IA,19023
Butler,37.5699617,-97.1074284,5254,Kansas,KS,20015
Butler,37.2156784,-86.83850629999999,644,Kentucky,KY,21031
Butler,36.557494299999995,-90.4712561,2674,Missouri,MO,29023
Butler,41.1977639,-97.28100479999999,534,Nebraska,NE,31023
Butler,39.3540565,-84.7878244,28069,Ohio,OH,39017
Butler,40.7623149,-80.1229004,13715,Pennsylvania,PA,42019
Butte,39.3392635,-121.7707851,17853,California,CA,06007
Butte,43.6856967,-113.5836371,229,Idaho,ID,16023
Butte,44.9338724,-103.89574470000001,696,South Dakota,SD,46019
Butts,33.2921568,-83.9695442,1758,Georgia,GA,13035
Cabarrus,35.3027481,-80.6399371,12574,North Carolina,NC,37025
Cabell,38.307609899999996,-82.4873626,7390,West Virginia,WV,54099
Cache,41.6260187,-111.94620249999998,10257,Utah,UT,49005
Caddo,32.3625271,-94.0067505,17968,Louisiana,LA,22017
Caddo,35.0836326,-98.5944348,2223,Oklahoma,OK,40015
Calaveras,38.192620299999994,-120.95782040000002,2880,California,CA,06009
Calcasieu,30.1879063,-93.59831290000001,14541,Louisiana,LA,22019
Caldwell,37.1982925,-88.0108129,839,Kentucky,KY,21033
Caldwell,31.951563300000004,-92.1534405,727,Louisiana,LA,22021
Caldwell,39.531881,-94.0507754,675,Missouri,MO,29025
Caldwell,36.0109549,-81.7352538,5460,North Carolina,NC,37027
Caldwell,29.816065100000003,-97.8350536,2790,Texas,TX,48055
Caledonia,44.2324529,-72.25751629999999,2371,Vermont,VT,50005
Calhoun,33.5817578,-85.99549350000001,9325,Alabama,AL,01121
Calhoun,33.4968029,-92.4801628,290,Arkansas,AR,05013
Calhoun,30.2867179,-85.2395985,839,Florida,FL,12013
Calhoun,31.423155600000005,-84.68430550000001,166,Georgia,GA,13099
Calhoun,38.918311100000004,-90.5897352,296,Illinois,IL,17013
Calhoun,42.4250985,-94.85050059999999,615,Iowa,IA,19025
Calhoun,42.1101373,-85.2186991,8568,Michigan,MI,26025
Calhoun,33.8462135,-89.41659200000001,1029,Mississippi,MS,28013
Calhoun,33.701218700000005,-80.7571705,728,South Carolina,SC,45017
Calhoun,28.4417191,-96.5795739,1657,Texas,TX,48057
Calhoun,38.6695274,-81.08949969999999,441,West Virginia,WV,54013
Callahan,32.266413,-99.5188938,800,Texas,TX,48059
Callaway,38.6229985,-92.1022762,3425,Missouri,MO,29027
Calloway,36.521138,-88.3337561,3280,Kentucky,KY,21035
Calumet,44.0260761,-88.17631180000001,1692,Wisconsin,WI,55015
Calvert,38.411433,-76.548803,7116,Maryland,MD,24009
Camas,43.49259910000001,-114.809455,48,Idaho,ID,16025
